"","iphone","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","iphonecampos","iphonecamunc","iphoneperneg","iphoneperunc","iphonesentiment.1","iphonesentiment"
"475",1,0,0,0,0,0,0,0,0,"5","6"
"476",0,1,0,0,0,3,0,0,1,"0","1"
"477",0,0,0,0,1,0,0,0,1,"0","1"
"478",2,0,0,0,0,0,0,0,0,"5","6"
"479",0,0,10,0,0,0,0,0,0,"0","1"
"480",11,1,0,0,0,3,1,0,1,"5","6"
"481",1,1,0,0,0,0,0,0,0,"3","4"
"482",1,0,0,0,0,0,0,0,2,"5","6"
"483",2,0,0,0,0,0,0,0,0,"5","6"
"484",0,0,0,0,1,0,0,0,0,"0","1"
"485",0,0,0,0,0,0,0,0,0,"0","1"
"486",1,0,0,0,0,0,0,0,4,"5","6"
"487",0,0,0,0,0,0,0,0,0,"0","1"
"488",0,0,0,0,0,0,0,0,0,"0","1"
"489",11,0,0,0,0,3,1,0,1,"5","6"
"490",1,0,0,0,0,0,0,0,0,"5","6"
"491",1,1,0,0,0,0,0,0,0,"3","4"
"492",0,0,0,0,1,0,0,0,0,"0","1"
"493",0,0,0,0,0,2,0,0,0,"0","1"
"494",0,0,0,0,0,0,0,0,0,"0","1"
"495",1,0,0,0,0,0,0,0,0,"5","6"
"496",1,0,0,0,0,0,0,0,0,"5","6"
"497",0,0,3,0,0,0,0,0,0,"0","1"
"498",0,0,0,0,0,0,0,0,0,"0","1"
"499",0,0,0,0,0,0,0,0,0,"0","1"
